clan	prd_score	netto_dup	gt_dup	count	frac	fisher.pval	fisher.odss	wilcoxon.pval
4Fe-4S	-0.1636700006	0	3	1	0.000202470135654991	1	0	0.167547295848923
6_Hairpin	-0.156395778333333	0	1.33333333333333	3	0.000607410406964973	1	0	0.123158360088519
AB_hydrolase	0.5160476917	9	0	1	0.000202470135654991	1	0	0.0561317173673546
ABC-2	-0.1254131256	0.5	2	2	0.000404940271309982	1	0	0.482445181053369
Actin_ATPase	-0.1582143339	0	0.5	2	0.000404940271309982	1	0	0.146697514440536
ADF	-0.167235975025	0	1.25	8	0.00161976108523993	1	0	0.00390608203062405
AI-2E_transport	-0.1432112505	0	2	1	0.000202470135654991	1	0	0.39870033515855
AIP3	-0.1432112505	0	2	1	0.000202470135654991	1	0	0.39870033515855
AKAP_110	-0.0807112505	1	4	2	0.000404940271309982	1	0	0.788296297994641
Alpha-2-MRAP_N	-0.1762600006	0	0	1	0.000202470135654991	1	0	0.0874369526143959
Amidohydrolase	-0.1636700006	0	0	1	0.000202470135654991	1	0	0.167547295848923
Angiomotin_C	-0.190948334	0	1	1	0.000202470135654991	1	0	0.0629988073927752
Ank	-0.0979515279328	0.832	2.432	125	0.0253087669568739	0.520568811367098	0.384132028921666	0.000536243568204053
Annexin	-0.1301554353	0.333333333333333	1	9	0.00182223122089492	1	0	0.111684826185251
APC_r	-0.1636700006	0	2	2	0.000404940271309982	1	0	0.086354407704393
ARA70	-0.1636700006	0	0	1	0.000202470135654991	1	0	0.167547295848923
Armet	-0.1636700006	0	2	2	0.000404940271309982	1	0	0.086354407704393
Arrestin_N-like	0.3139079995	7	3	1	0.000202470135654991	1	0	0.0710747657417087
Atx10homo_assoc	0.6934728566	12	0	1	0.000202470135654991	1	0	0.0503048012444646
AVL9	-0.1177263398	0.5	1.5	2	0.000404940271309982	1	0	0.532406535910458
BAG	-0.1636700006	0	0	1	0.000202470135654991	1	0	0.167547295848923
BEN	-0.1762600006	0	0	1	0.000202470135654991	1	0	0.0874369526143959
Beta_propeller	-0.0881163751664286	0.992857142857143	1.45	280	0.0566916379833974	0.126271370923375	0.334873500461561	9.05083223676975e-06
BIR-like	-0.06708002182	1.2	1.2	5	0.00101235067827495	1	0	0.741777302111495
BMP2K_C	-0.1636700006	0	1	1	0.000202470135654991	1	0	0.167547295848923
BRCA2	1.0708619992	13	1	1	0.000202470135654991	0.0202470135654991	Inf	0.0463873026234343
BRCT-like	-0.128722847725	0.25	2.5	4	0.000809880542619964	1	0	0.380792586928432
Bromodomain	-0.1272988893	0	3	1	0.000202470135654991	1	0	0.519492889233785
C_Lectin	-0.0436083782	1.6	2.8	5	0.00101235067827495	1	0	0.691628259484634
C1	-0.14193750065	0.5	1	2	0.000404940271309982	1	0	0.205563819109105
C2	-0.139730764376923	0.153846153846154	2.07692307692308	13	0.00263211176351488	1	0	0.081411208819531
C2H2-zf	0.376987284052	10.1066666666667	6.95555555555556	225	0.0455557805223729	1.47365306388496e-15	9.15331114060445	1.18845708299872e-21
Cache	-0.1636700006	0	0	1	0.000202470135654991	1	0	0.167547295848923
Calpain_inhib	0.8237399994	13	0	1	0.000202470135654991	1	0	0.0482261405479724
Cast	-0.1205989478	0	4	1	0.000202470135654991	1	0	0.540753963699508
Cation_ATPase_C	0.6098745447	9	0	1	0.000202470135654991	1	0	0.0528321083146277
CBS	-0.1347870593	0	2	1	0.000202470135654991	1	0	0.468467102014332
CC2-LZ	-0.1636700006	0	2	1	0.000202470135654991	1	0	0.167547295848923
CCCH_zf	-0.06735710609	1.2	2	10	0.00202470135654991	1	0	0.692750460179131
CENP-F_leu_zip	0.0506157137	3	0	1	0.000202470135654991	1	0	0.131423203782903
CEP209_CC5	-0.0153357899	2	5	1	0.000202470135654991	1	0	0.839838446601302
Cep57_MT_bd	-0.1636700006	0	0	1	0.000202470135654991	1	0	0.167547295848923
CH	-0.156395778333333	0	1	3	0.000607410406964973	1	0	0.123158360088519
Choline_transpo	-0.2291380008	0	2	1	0.000202470135654991	1	0	0.0474558907979929
Cnn_1N	-0.0470873902	1.5	3.5	2	0.000404940271309982	1	0	0.86513256495997
Collagen	0.294168990354545	6.36363636363636	1.12121212121212	33	0.0066815144766147	0.00412511361750205	6.90323626356095	7.17265802493905e-07
Concanavalin	-0.130157597581818	0.363636363636364	2.90909090909091	11	0.0022271714922049	1	0	0.0634996539382044
Cornifin	7.2172197491	63	3.5	2	0.000404940271309982	0.000405924330292508	Inf	0.00743781747056724
CortBP2	-0.1636700006	0	1.5	2	0.000404940271309982	1	0	0.086354407704393
Cpn60_TCP1	-0.0993369237	1	0	1	0.000202470135654991	1	0	0.600077464886362
CU_oxidase	-0.18385596732	0	1.2	5	0.00101235067827495	1	0	0.0180076460245047
CUB	-0.157607222528571	0	1.42857142857143	7	0.00141729094958494	1	0	0.0403615157548563
Cupin	-0.12250004815	0.5	1	2	0.000404940271309982	1	0	0.457814699955097
Cys_rich_FGFR	-0.1205989478	0	3	1	0.000202470135654991	1	0	0.540753963699508
Cystatin	-0.0860920005	1	2	1	0.000202470135654991	1	0	0.689376491734763
DBINO	-0.190948334	0	0	1	0.000202470135654991	1	0	0.0629988073927752
Disintegrin	-0.1432112505	0	1	1	0.000202470135654991	1	0	0.39870033515855
DMT	-0.12604779545	0.5	1	2	0.000404940271309982	1	0	0.424753203453722
Drf_FH1	2.6708619992	29	1	1	0.000202470135654991	0.0202470135654991	Inf	0.0437513175698086
DSRM	-0.13251746722	0.4	2	5	0.00101235067827495	1	0	0.142201108342334
DUF1388	11.7847699987	73	0	1	0.000202470135654991	0.0202470135654991	Inf	0.0416429538190707
DUF1981	-0.0818350003	0	5	1	0.000202470135654991	1	0	0.70484714393179
DUF2370	-0.1432112505	0	2	1	0.000202470135654991	1	0	0.39870033515855
DUF2475	-0.24186788975	0	0	2	0.000404940271309982	1	0	0.00857637326307468
DUF2781	-0.1432112505	0	1	1	0.000202470135654991	1	0	0.39870033515855
DUF3402	-0.12795571485	0.5	0	2	0.000404940271309982	1	0	0.337685147590283
DUF3535	-0.1762600006	0	1	1	0.000202470135654991	1	0	0.0874369526143959
DUF4171	-0.0922414291	1	1	1	0.000202470135654991	1	0	0.645074939840003
DUF4200	-0.1366788075	0	0.5	2	0.000404940271309982	1	0	0.383353999688928
DUF4457	-0.1432112505	0	2	1	0.000202470135654991	1	0	0.39870033515855
DUF5110	0.04028733305	3.5	14	2	0.000404940271309982	1	0	0.0614330126081679
DUF945	24.7475658819	423	4	1	0.000202470135654991	0.0202470135654991	Inf	0.0412686046649882
DUF971	-0.0993369237	1	0	1	0.000202470135654991	1	0	0.600077464886362
DUSP	-0.1527586672	0	3	1	0.000202470135654991	1	0	0.30100460890643
E-set	-0.0390740610267857	1.52678571428571	2.24107142857143	112	0.022676655193359	1	0.87738672269297	0.000606050984800979
Ecm29	-0.1527586672	0	1	1	0.000202470135654991	1	0	0.30100460890643
EF_hand	-0.0819324636797101	0.985507246376812	1.21739130434783	69	0.0139704393601944	0.404613785176369	0	0.182364846309344
EGF	-0.0822580796835443	1.30379746835443	2.0126582278481	79	0.0159951407167443	1	0.616596630000456	0.00132752142995906
ENTH_VHS	-0.1432112505	0	1	1	0.000202470135654991	1	0	0.39870033515855
Ephrin_rec_like	-0.1095873902	0.5	1	2	0.000404940271309982	1	0	0.600889575506178
EPTP	-0.12676922894	0.2	0.8	5	0.00101235067827495	1	0	0.433713134545565
FAM184	-0.0679673688	1	3	1	0.000202470135654991	1	0	0.749887010936641
FAM75	0.0949233329	4	16	1	0.000202470135654991	1	0	0.115917060231359
FANCI_S3	-0.1347870593	0	3	1	0.000202470135654991	1	0	0.468467102014332
Fasciclin	-0.1347870593	0	1	1	0.000202470135654991	1	0	0.468467102014332
FAST_1	-0.1404200323	0.333333333333333	0.666666666666667	3	0.000607410406964973	1	0	0.192104669609253
Fez1	-0.0860920005	1	1	1	0.000202470135654991	1	0	0.689376491734763
FF	0.0816877197666667	3.33333333333333	1.66666666666667	3	0.000607410406964973	1	0	0.156617037882528
FH2	-0.0679673688	1	3	1	0.000202470135654991	1	0	0.749887010936641
Filament	-0.1347870593	0	2	1	0.000202470135654991	1	0	0.468467102014332
FKBP	-0.14548444495	0	1	2	0.000404940271309982	1	0	0.258708383315675
Flot	-0.1272988893	0	2	1	0.000202470135654991	1	0	0.519492889233785
FnI-like	-0.1070535859375	1	0.5	8	0.00161976108523993	1	0	0.0733585737781671
Forkhead_N	-0.1762600006	0	0	1	0.000202470135654991	1	0	0.0874369526143959
FXMRP1_C_core	-0.1636700006	0	0	1	0.000202470135654991	1	0	0.167547295848923
gCrystallin	-0.168921444466667	0	1	3	0.000607410406964973	1	0	0.0623636905238302
GDNF	-0.147222770133333	0	2.33333333333333	3	0.000607410406964973	1	0	0.226337475015992
GF_recep_C-rich	-0.119181382875	0.5	3.25	4	0.000809880542619964	1	0	0.380390583989961
Glyco_hydro_tim	-0.130636333866667	0.333333333333333	2	3	0.000607410406964973	1	0	0.236358551195381
GME	-0.1636700006	0	0	1	0.000202470135654991	1	0	0.167547295848923
GOLGA2L5	-0.0518918981526316	0.578947368421053	24	19	0.00384693257744483	1	0	0.999097632432519
Golgi_traff	-0.1636700006	0	0	1	0.000202470135654991	1	0	0.167547295848923
GoLoco	-0.1762600006	0	3	1	0.000202470135654991	1	0	0.0874369526143959
GPCR_A	-0.1527586672	0	3	1	0.000202470135654991	1	0	0.30100460890643
GT-A	-0.1135142442	0.5	0.5	2	0.000404940271309982	1	0	0.581959014064819
GTF2I	0.3708619992	6	2	1	0.000202470135654991	1	0	0.0657421766125114
HAD	-0.104950224783333	1	1.33333333333333	6	0.00121482081392995	1	0	0.273543971272402
Hemopexin	-0.162122793354545	0.0909090909090909	1	11	0.0022271714922049	1	0	0.00417844278786665
HEXAPEP	0.05061571375	3	0	2	0.000404940271309982	1	0	0.110891691585621
HIP1_clath_bdg	-0.1636700006	0	0	1	0.000202470135654991	1	0	0.167547295848923
HLH	-0.0922414291	1	3	1	0.000202470135654991	1	0	0.645074939840003
HMA	-0.12795571485	0.5	1	2	0.000404940271309982	1	0	0.337685147590283
HMG-box	-0.12795571485	0.5	3	2	0.000404940271309982	1	0	0.337685147590283
HMMR_C	-0.0922414291	1	0	1	0.000202470135654991	1	0	0.645074939840003
Hormone_2	-0.1145690004	0	2	1	0.000202470135654991	1	0	0.55773773358844
HR1	-0.139860476766667	0.333333333333333	0.666666666666667	3	0.000607410406964973	1	0	0.184379625753844
HS1_rep	0.4077585709	8	1	1	0.000202470135654991	1	0	0.0634351534643631
HTH	-0.0711259939266667	1.53333333333333	1.2	15	0.00303705203482486	1	0	0.676753004672822
HUP	-0.0131795089571429	2	1.57142857142857	7	0.00141729094958494	1	0	0.230905511945593
Hyd_WA	-0.15552352995	0	0.5	2	0.000404940271309982	1	0	0.154900878429967
I_LWEQ	-0.1432112505	0	0	1	0.000202470135654991	1	0	0.39870033515855
Ig	-0.0780670316481818	1.50909090909091	7.12727272727273	110	0.022271714922049	0.727493666204246	0.438379290404754	0.039870791380086
ILEI	-0.1527586672	0	1	1	0.000202470135654991	1	0	0.30100460890643
Inhibitor_Mig-6	0.1314323071	4	1	1	0.000202470135654991	1	0	0.0991559144640934
Ion_channel	-0.11093283375	0.428571428571429	2.35714285714286	14	0.00283458189916987	1	0	0.455900684196901
IT	-0.15177944495	0	1.5	2	0.000404940271309982	1	0	0.177452787464936
Jnk-SapK_ap_N	-0.1432112505	0	2	1	0.000202470135654991	1	0	0.39870033515855
JUPITER	-0.1527586672	0	1	1	0.000202470135654991	1	0	0.30100460890643
Kazal	-0.00226905607499999	2.25	1.75	4	0.000809880542619964	1	0	0.636768058259935
KELK	-0.0790131037	0	4	2	0.000404940271309982	1	0	0.799215277961097
Keratin_2_head	0.1423849993	4	21	1	0.000202470135654991	1	0	0.0969658018427162
Keratin_assoc	0.6787404057375	13.25	15.75	8	0.00161976108523993	0.0104959959508929	16.4026012999367	3.64250378214889e-06
KH	-0.117082147491667	0.5	1.75	12	0.00242964162785989	1	0	0.0761222123834973
Kinesin_assoc	-0.1432112505	0	2	1	0.000202470135654991	1	0	0.39870033515855
KOW	0.1220442851	4	2	1	0.000202470135654991	1	0	0.104406406746614
KRBA1	-0.572845002	0	0	1	0.000202470135654991	1	0	0.0413308060641202
Kri1	-0.0208128577	2	3	1	0.000202470135654991	1	0	0.799578954835517
Kringle	-0.146779061016667	0.166666666666667	1.16666666666667	6	0.00121482081392995	1	0	0.0853183865018555
Kunitz_BPTI	-0.1762600006	0	1	1	0.000202470135654991	1	0	0.0874369526143959
L27	-0.0759635299	1	3	1	0.000202470135654991	1	0	0.731900753231819
Ldl_recept_a	-0.148201973730769	0.307692307692308	0.846153846153846	13	0.00263211176351488	1	0	0.0116685979403667
LRR	-0.118268939412838	0.695945945945946	1.10810810810811	148	0.0299655800769387	0.371891652364992	0.322453526449911	3.54453202568806e-11
LRRFIP	-0.1636700006	0	0	1	0.000202470135654991	1	0	0.167547295848923
M6PR	-0.0717433338	1	4	1	0.000202470135654991	1	0	0.742792828976499
MACRO	-0.095474167	0	7	1	0.000202470135654991	1	0	0.614406916105068
MFS	-0.0593631873090909	0.909090909090909	5	11	0.0022271714922049	1	0	0.821074478811244
Mito_carr	-0.155822808097059	0.0588235294117647	1.5	34	0.00688398461226969	1	0	0.000267840335168209
MMS19_N	-0.1762600006	0	0	1	0.000202470135654991	1	0	0.0874369526143959
MOR2-PAG1_mid	-0.1527586672	0	1	1	0.000202470135654991	1	0	0.30100460890643
MORN	-0.1622120481125	0.25	0.625	8	0.00161976108523993	1	0	0.0172573691273643
motif	0.0291152397200673	2.22795216741405	1.64648729446936	2676	0.541810083012756	0.224418703428	0.776651292903987	4.42923318477768e-18
Myosin_tail_1	0.4192887495	9	1	1	0.000202470135654991	1	0	0.0622623890210783
Na_Ca_ex	-0.1527586672	0	2	1	0.000202470135654991	1	0	0.30100460890643
NADP_Rossmann	-0.1569382863	0.2	0.4	5	0.00101235067827495	1	0	0.0184725207208543
NDK	-0.2083072735	0	2	1	0.000202470135654991	1	0	0.0531740238847681
Nebulin	3.0474522316	51	1	2	0.000404940271309982	0.0400881028007056	48.629923117498	0.0220639776462288
NEMO	0.3363299994	7	0	1	0.000202470135654991	1	0	0.0688099398820876
NHS	-0.1762600006	0	0	1	0.000202470135654991	1	0	0.0874369526143959
NR_Repeat	0.1423849993	4	1	1	0.000202470135654991	1	0	0.0969658018427162
NRDE-2	-0.1432112505	0	3	1	0.000202470135654991	1	0	0.39870033515855
NTN	-0.3273400012	0	0	1	0.000202470135654991	1	0	0.0422729779007037
NYD-SP28	-0.0922414291	1	1	1	0.000202470135654991	1	0	0.645074939840003
NYD-SP28_assoc	-0.1527586672	0	1	1	0.000202470135654991	1	0	0.30100460890643
OAS1_C	0.1035038707	5.5	14	2	0.000404940271309982	1	0	0.0404891843191977
OB	-0.0685210838666667	1.33333333333333	1.66666666666667	3	0.000607410406964973	1	0	0.411224837773013
ORC6	-0.190948334	0	0	1	0.000202470135654991	1	0	0.0629988073927752
