Gene stable ID	Gene name
ENSG00000001167	NFYA
ENSG00000001617	SEMA3F
ENSG00000001629	ANKIB1
ENSG00000001631	KRIT1
ENSG00000002746	HECW1
ENSG00000003096	KLHL13
ENSG00000003393	ALS2
ENSG00000003436	TFPI
ENSG00000003756	RBM5
ENSG00000004142	POLDIP2
ENSG00000004399	PLXND1
ENSG00000004478	FKBP4
ENSG00000004534	RBM6
ENSG00000004846	ABCB5
ENSG00000004864	SLC25A13
ENSG00000004897	CDC27
ENSG00000004975	DVL2
ENSG00000005007	UPF1
ENSG00000005022	SLC25A5
ENSG00000005100	DHX33
ENSG00000005108	THSD7A
ENSG00000005175	RPAP3
ENSG00000005238	FAM214B
ENSG00000005302	MSL3
ENSG00000005339	CREBBP
ENSG00000005379	TSPOAP1
ENSG00000005448	WDR54
ENSG00000005471	ABCB4
ENSG00000005483	KMT2E
ENSG00000005700	IBTK
ENSG00000005810	MYCBP2
ENSG00000005812	FBXL3
ENSG00000005889	ZFX
ENSG00000005981	ASB4
ENSG00000006047	YBX2
ENSG00000006125	AP2B1
ENSG00000006283	CACNA1G
ENSG00000006432	MAP3K9
ENSG00000006459	KDM7A
ENSG00000006555	TTC22
ENSG00000006576	PHTF2
ENSG00000006607	FARP2
ENSG00000006611	USH1C
ENSG00000006652	IFRD1
ENSG00000006715	VPS41
ENSG00000006740	ARHGAP44
ENSG00000006747	SCIN
ENSG00000007080	CCDC124
ENSG00000007168	PAFAH1B1
ENSG00000007237	GAS7
ENSG00000007314	SCN4A
ENSG00000007350	TKTL1
ENSG00000007372	PAX6
ENSG00000007384	RHBDF1
ENSG00000007392	LUC7L
ENSG00000007516	BAIAP3
ENSG00000007545	CRAMP1
ENSG00000007866	TEAD3
ENSG00000008083	JARID2
ENSG00000008128	CDK11A
ENSG00000008130	NADK
ENSG00000008196	TFAP2B
ENSG00000008226	DLEC1
ENSG00000008277	ADAM22
ENSG00000008294	SPAG9
ENSG00000008300	CELSR3
ENSG00000008311	AASS
ENSG00000008405	CRY1
ENSG00000008438	PGLYRP1
ENSG00000008516	MMP25
ENSG00000008710	PKD1
ENSG00000008735	MAPK8IP2
ENSG00000008853	RHOBTB2
ENSG00000008869	HEATR5B
ENSG00000008952	SEC62
ENSG00000009307	CSDE1
ENSG00000009413	REV3L
ENSG00000009694	TENM1
ENSG00000009709	PAX7
ENSG00000009724	MASP2
ENSG00000009790	TRAF3IP3
ENSG00000009830	POMT2
ENSG00000009950	MLXIPL
ENSG00000010017	RANBP9
ENSG00000010165	METTL13
ENSG00000010292	NCAPD2
ENSG00000010295	IFFO1
ENSG00000010318	PHF7
ENSG00000010322	NISCH
ENSG00000010404	IDS
ENSG00000010610	CD4
ENSG00000010671	BTK
ENSG00000010810	FYN
ENSG00000010818	HIVEP2
ENSG00000011028	MRC2
ENSG00000011258	MBTD1
ENSG00000011260	UTP18
ENSG00000011295	TTC19
ENSG00000011304	PTBP1
ENSG00000011376	LARS2
ENSG00000011422	PLAUR
ENSG00000011454	RABGAP1
ENSG00000011465	DCN
ENSG00000011677	GABRA3
ENSG00000012232	EXTL3
ENSG00000012504	NR1H4
ENSG00000012983	MAP4K5
ENSG00000013016	EHD3
ENSG00000013275	PSMC4
ENSG00000013293	SLC7A14
ENSG00000013364	MVP
ENSG00000013374	NUB1
ENSG00000013503	POLR3B
ENSG00000013523	ANGEL1
ENSG00000013573	DDX11
ENSG00000013619	MAMLD1
ENSG00000014123	UFL1
ENSG00000014216	CAPN1
ENSG00000014641	MDH1
ENSG00000014824	SLC30A9
ENSG00000015171	ZMYND11
ENSG00000015479	MATR3
ENSG00000015532	XYLT2
ENSG00000015568	RGPD5
ENSG00000016391	CHDH
ENSG00000017260	ATP2C1
ENSG00000017797	RALBP1
ENSG00000018189	RUFY3
ENSG00000018236	CNTN1
ENSG00000018408	WWTR1
ENSG00000018510	AGPS
ENSG00000018869	ZNF582
ENSG00000019102	VSIG2
ENSG00000019144	PHLDB1
ENSG00000019485	PRDM11
ENSG00000019505	SYT13
ENSG00000019549	SNAI2
ENSG00000019991	HGF
ENSG00000019995	ZRANB1
ENSG00000020181	ADGRA2
ENSG00000020922	MRE11
ENSG00000021574	SPAST
ENSG00000021762	OSBPL5
ENSG00000021776	AQR
ENSG00000021826	CPS1
ENSG00000022267	FHL1
ENSG00000022355	GABRA1
