




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	PANTHER version 14.1 Released 2019-03-12
Analyzed List:	S1_motif.lst (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	BONFERRONI
Bonferroni count:	1455
PANTHER GO-Slim Biological Process	Homo sapiens - REFLIST (20996)	S1_motif.lst (2652)	S1_motif.lst (expected)	S1_motif.lst (over/under)	S1_motif.lst (fold Enrichment)	S1_motif.lst (P-value)





Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	PANTHER version 14.1 Released 2019-03-12
Analyzed List:	S1_motif.lst (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	BONFERRONI
Bonferroni count:	1455
PANTHER GO-Slim Biological Process	Homo sapiens - REFLIST (20996)	S1_motif.lst (2652)	S1_motif.lst (expected)	S1_motif.lst (over/under)	S1_motif.lst (fold Enrichment)	S1_motif.lst (P-value)





Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	PANTHER version 14.1 Released 2019-03-12
Analyzed List:	S1_prd.lst (Homo sapiens)
Reference List:	S1_all.lst (Homo sapiens)
Test Type:	FISHER
Correction:	BONFERRONI
Bonferroni count:	891
PANTHER GO-Slim Biological Process	S1_all.lst - REFLIST (4885)	S1_prd.lst (1024)	S1_prd.lst (expected)	S1_prd.lst (over/under)	S1_prd.lst (fold Enrichment)	S1_prd.lst (P-value)
regulation of metabolic process (GO:0019222)	442	138	92.65	+	1.49	2.68E-02
gene expression (GO:0010467)	617	186	129.34	+	1.44	5.31E-03
macromolecule metabolic process (GO:0043170)	786	232	164.76	+	1.41	7.50E-04
organic substance metabolic process (GO:0071704)	962	274	201.66	+	1.36	7.99E-04
metabolic process (GO:0008152)	1123	303	235.40	+	1.29	1.03E-02
Unclassified (UNCLASSIFIED)	2124	423	445.24	-	.95	0.00E00





Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	PANTHER version 14.1 Released 2019-03-12
Analyzed List:	S1_prd.lst (Homo sapiens)
Reference List:	S1_all.lst (Homo sapiens)
Test Type:	FISHER
Correction:	BONFERRONI
Bonferroni count:	163
PANTHER Protein Class	S1_all.lst - REFLIST (4885)	S1_prd.lst (1024)	S1_prd.lst (expected)	S1_prd.lst (over/under)	S1_prd.lst (fold Enrichment)	S1_prd.lst (P-value)
zinc finger transcription factor (PC00244)	153	57	32.07	+	1.78	4.46E-02
transcription factor (PC00218)	353	113	74.00	+	1.53	1.20E-02
Unclassified (UNCLASSIFIED)	2690	540	563.88	-	.96	0.00E00





Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	PANTHER version 14.1 Released 2019-03-12
Analyzed List:	S2_humlin.lst (Homo sapiens)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	S1_all.lst (Homo sapiens)
Test Type:	FISHER
Correction:	BONFERRONI
Bonferroni count:	891
