Supplementary Table - PANTHER functional overrepresentation analysis 




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	PANTHER version 14.1 Released 2019-03-12
Analyzed List:	S1_all.lst (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	BONFERRONI
Bonferroni count:	1455
PANTHER GO-Slim Biological Process	Homo sapiens - REFLIST (20996)	S1_all.lst (4885)	S1_all.lst (expected)	S1_all.lst (over/under)	S1_all.lst (fold Enrichment)	S1_all.lst (P-value)
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	52	40	12.10	+	3.31	8.06E-05
extracellular matrix organization (GO:0030198)	69	46	16.05	+	2.87	1.86E-04
extracellular structure organization (GO:0043062)	72	46	16.75	+	2.75	5.09E-04
cell-cell adhesion (GO:0098609)	104	57	24.20	+	2.36	1.11E-03
RNA splicing, via transesterification reactions (GO:0000375)	165	77	38.39	+	2.01	1.89E-03
mRNA splicing, via spliceosome (GO:0000398)	164	76	38.16	+	1.99	2.64E-03
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	164	76	38.16	+	1.99	2.64E-03
RNA splicing (GO:0008380)	176	80	40.95	+	1.95	2.54E-03
RNA processing (GO:0006396)	233	101	54.21	+	1.86	6.82E-04
protein ubiquitination (GO:0016567)	200	86	46.53	+	1.85	6.29E-03
protein modification by small protein conjugation or removal (GO:0070647)	217	90	50.49	+	1.78	1.33E-02
protein modification by small protein conjugation (GO:0032446)	217	90	50.49	+	1.78	1.33E-02
cell adhesion (GO:0007155)	373	134	86.78	+	1.54	3.86E-02
biological adhesion (GO:0022610)	373	134	86.78	+	1.54	3.86E-02
regulation of transcription by RNA polymerase II (GO:0006357)	651	229	151.46	+	1.51	1.89E-04
regulation of transcription, DNA-templated (GO:0006355)	687	241	159.84	+	1.51	9.57E-05
regulation of nucleic acid-templated transcription (GO:1903506)	687	241	159.84	+	1.51	9.57E-05
regulation of biosynthetic process (GO:0009889)	753	261	175.20	+	1.49	6.77E-05
regulation of RNA biosynthetic process (GO:2001141)	740	256	172.17	+	1.49	1.04E-04
regulation of cellular biosynthetic process (GO:0031326)	752	260	174.96	+	1.49	8.30E-05
gene expression (GO:0010467)	1842	617	428.57	+	1.44	1.62E-12
transcription by RNA polymerase II (GO:0006366)	1011	332	235.22	+	1.41	7.17E-05
regulation of metabolic process (GO:0019222)	1347	442	313.40	+	1.41	4.06E-07
macromolecule metabolic process (GO:0043170)	2419	786	562.81	+	1.40	3.16E-14
transcription, DNA-templated (GO:0006351)	1251	402	291.06	+	1.38	2.14E-05
cellular component organization (GO:0016043)	1723	514	400.88	+	1.28	5.91E-04
organic substance metabolic process (GO:0071704)	3338	962	776.63	+	1.24	4.29E-07
regulation of biological process (GO:0050789)	2673	744	621.91	+	1.20	6.83E-03
biological regulation (GO:0065007)	3089	852	718.70	+	1.19	3.58E-03
metabolic process (GO:0008152)	4072	1123	947.41	+	1.19	3.59E-05
cellular process (GO:0009987)	6070	1632	1412.27	+	1.16	1.23E-06
Unclassified (UNCLASSIFIED)	10588	2124	2463.44	-	.86	0.00E00
response to stimulus (GO:0050896)	1190	194	276.87	-	.70	1.54E-03
immune system process (GO:0002376)	620	64	144.25	-	.44	5.84E-09
defense response (GO:0006952)	246	23	57.24	-	.40	4.52E-03
innate immune response (GO:0045087)	173	13	40.25	-	.32	1.08E-02
response to external biotic stimulus (GO:0043207)	126	5	29.32	-	.17	6.98E-04
response to other organism (GO:0051707)	126	5	29.32	-	.17	6.98E-04
response to bacterium (GO:0009617)	126	5	29.32	-	.17	6.98E-04
response to biotic stimulus (GO:0009607)	127	5	29.55	-	.17	7.19E-04
immune effector process (GO:0002252)	175	6	40.72	-	.15	5.94E-07
defense response to bacterium (GO:0042742)	124	4	28.85	-	.14	2.35E-04
antigen receptor-mediated signaling pathway (GO:0050851)	125	4	29.08	-	.14	1.53E-04
immune response-activating cell surface receptor signaling pathway (GO:0002429)	136	4	31.64	-	.13	2.08E-05
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	136	4	31.64	-	.13	2.08E-05
immune response (GO:0006955)	350	10	81.43	-	.12	1.85E-17
leukocyte activation (GO:0045321)	153	4	35.60	-	.11	1.31E-06
humoral immune response (GO:0006959)	139	3	32.34	-	.09	1.61E-06
lymphocyte activation (GO:0046649)	146	3	33.97	-	.09	4.59E-07
regulation of leukocyte activation (GO:0002694)	116	2	26.99	-	.07	1.55E-05
regulation of cell activation (GO:0050865)	118	2	27.45	-	.07	1.69E-05
leukocyte migration (GO:0050900)	65	1	15.12	-	.07	3.65E-02
detection of chemical stimulus involved in sensory perception (GO:0050907)	184	2	42.81	-	.05	2.81E-11
sensory perception of chemical stimulus (GO:0007606)	224	2	52.12	-	.04	7.37E-15
regulation of lymphocyte activation (GO:0051249)	114	1	26.52	-	.04	3.05E-06
B cell activation (GO:0042113)	118	1	27.45	-	.04	1.24E-06





Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	PANTHER version 14.1 Released 2019-03-12
Analyzed List:	S1_pfam.lst (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	BONFERRONI
Bonferroni count:	1455
PANTHER GO-Slim Biological Process	Homo sapiens - REFLIST (20996)	S1_pfam.lst (2233)	S1_pfam.lst (expected)	S1_pfam.lst (over/under)	S1_pfam.lst (fold Enrichment)	S1_pfam.lst (P-value)
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	52	38	5.53	+	6.87	5.63E-13
NLS-bearing protein import into nucleus (GO:0006607)	22	16	2.34	+	6.84	2.08E-04
cell-cell junction assembly (GO:0007043)	28	19	2.98	+	6.38	3.16E-05
extracellular matrix organization (GO:0030198)	69	42	7.34	+	5.72	1.80E-12
adherens junction organization (GO:0034332)	23	14	2.45	+	5.72	5.81E-03
cell junction organization (GO:0034330)	32	19	3.40	+	5.58	1.50E-04
extracellular structure organization (GO:0043062)	72	42	7.66	+	5.48	5.44E-12
cell-cell adhesion (GO:0098609)	104	52	11.06	+	4.70	4.12E-13
spindle assembly (GO:0051225)	35	17	3.72	+	4.57	5.76E-03
spindle organization (GO:0007051)	38	18	4.04	+	4.45	3.97E-03
protein import into nucleus (GO:0006606)	55	23	5.85	+	3.93	9.69E-04
cell-matrix adhesion (GO:0007160)	50	20	5.32	+	3.76	8.71E-03
cell-substrate adhesion (GO:0031589)	54	21	5.74	+	3.66	7.31E-03
cell morphogenesis (GO:0000902)	60	23	6.38	+	3.60	3.21E-03
protein polyubiquitination (GO:0000209)	64	23	6.81	+	3.38	7.70E-03
cell adhesion (GO:0007155)	373	118	39.67	+	2.97	4.27E-18
biological adhesion (GO:0022610)	373	118	39.67	+	2.97	4.27E-18
