ensembl_gene_id	genetree_id	gene_symbol	prd_score	identifier	netto_dup	loss	orthologs_cnt	clan	unit_cv	selectome	schaper_pos	mis_z	pLI	gt_dup	gt_root	segdup
ENSG00000124942	ENSGT00530000063716	AHNAK	24.7475658819	ENSGT00530000063716_ENSG00000124942_DUF945	423	1342	17	DUF945	0.7461423328	True	True	-5.7489114034	0.3445673871	4	t117571	False
ENSG00000100106	ENSGT00530000063678	TRIOBP	19.677154998	ENSGT00530000063678_ENSG00000100106	81	28	4	motif	0.3042080135	False	False	-0.8854067278	8.94617457135e-13	4	t7742	False
ENSG00000169258	ENSGT00570000079168	GPRIN1	16.9514366653	ENSGT00570000079168_ENSG00000169258	104	90	6	motif	0.2198770923	False		2.5561525592	0.7872873419	3	t117571	False
ENSG00000164309	ENSGT00840000129812	CMYA5	15.5417239984	ENSGT00840000129812_ENSG00000164309	80	134	5	motif	0.4055798638	False		-2.7262632841	3.80676086687e-43	1	t117571	True
ENSG00000167676	ENSGT00500000044795	PLIN4	13.1898466658	ENSGT00500000044795_ENSG00000167676_Perilipin	121	19	9	Perilipin	0.9134793071	False	False	-1.9538189802	1.65846988024e-12	2	t32523	False
ENSG00000183248	ENSGT00730000111448	PRR36	12.3417239984	ENSGT00730000111448_ENSG00000183248	64	69	5	motif	0.6244450199	False		NA	NA	3	t117571	False
ENSG00000100285	ENSGT00910000143989	NEFH	11.7847699987	ENSGT00910000143989_ENSG00000100285_DUF1388	73	87	6	DUF1388	0.1663576215	False	True	0.8780464749	0.0012610406	0	t117571	True
ENSG00000105227	ENSGT00530000063716	PRX	11.463577499	ENSGT00530000063716_ENSG00000105227_Cornifin	94	119	8	Cornifin	1.1177532187	False	True	0.7958043492	3.7005057017e-11	1	t117571	False
ENSG00000136929	ENSGT00390000004522	HEMGN	9.927154998	ENSGT00390000004522_ENSG00000136929	42	20	4	motif	0.1468685479	False		-0.9599172089	3.1851425889e-07	0	t32524	False
ENSG00000197362	ENSGT00920000149135	ZNF786	9.206034444	ENSGT00920000149135_ENSG00000197362_zf-H2C2_2	168	354	18	C2H2-zf	0.3014923666	False	False	-1.5829966632	1.4e-08	11	t32524	False
ENSG00000189001	ENSGT00440000039148	SBSN	9.118103332	ENSGT00440000039148_ENSG00000189001	57	46	6	motif	0.5791425227	False	False	0.7232474796	0.0351452812	1	t40674	False
ENSG00000149115	ENSGT00920000149109	TNKS1BP1	7.9583742846	ENSGT00920000149109_ENSG00000149115	58	53	7	motif	0.3364905351	False		-1.4869713898	0.0297108798	2	t117571	False
ENSG00000197077	ENSGT00920000149109	KIAA1671	7.8155171417	ENSGT00920000149109_ENSG00000197077	57	64	7	motif	0.3364905351	False		NA	NA	2	t117571	True
ENSG00000164256	ENSGT00530000063157	PRDM9	7.0472413328	ENSGT00530000063157_ENSG00000164256_zf-H2C2_2	108	175	15	C2H2-zf	0.2935330363	True	False	-0.4181618129	1.95333973756e-22	8	t117571	True
ENSG00000183091	ENSGT00530000062924	NEB	6.0442887495	ENSGT00530000062924_ENSG00000183091_Nebulin	99	1222	16	Nebulin	0.4584962344	False		-4.0353104058	4.08103130096e-17	2	t117571	True
