identifier	cv_initial	cv_final	cv_difference	mean_unit_cnt_initial	mean_unit_cnt_final		std_x	std_y
ENSGT00920000148975_ENSG00000126217_RhoGEF	0.500685401281325	0	-0.500685401281325	1.58823529411765	4		0.795206225564457	0
ENSGT00390000007640_ENSG00000110492_PTN_MK_N	0.467099366496914	0	-0.467099366496914	1.66666666666667	2		0.778498944161523	0
ENSGT00530000063416_ENSG00000156709_Pyr_redox	0.433680416555444	0	-0.433680416555444	1.84615384615385	2		0.800640769025436	0
ENSGT00390000014374_ENSG00000126858_Arf	0.403101717879217	0	-0.403101717879217	2.21428571428571	2		0.892582375303981	0
ENSGT00920000148990_ENSG00000100083_VHS	0.361438970244295	0	-0.361438970244295	1.8125	2		0.655108133567785	0
ENSGT00390000007370_ENSG00000091651_ORC6	0.322221244818285	0	-0.322221244818285	2.54545454545455	2		0.820199532264724	0
ENSGT00530000063064_ENSG00000134758_zf-C3HC4_2	0.322221244818285	0	-0.322221244818285	2.54545454545455	3		0.820199532264724	0
ENSGT00900000140844_ENSG00000141161_UNC45-central	0.317820863081864	0	-0.317820863081864	3	7		0.953462589245592	0
ENSGT00800000124081_ENSG00000071189_RGS	0.317744454651121	0	-0.317744454651121	2.28571428571429	5		0.726273039202563	0
ENSGT00530000064085_ENSG00000073969_AAA_22	0.305777697028413	0	-0.305777697028413	2.94117647058824	2		0.899346167730627	0
ENSGT00390000012446_ENSG00000138381_Asn_synthase	0.304499173683281	0	-0.304499173683281	2.3125	1		0.704154339142587	0
ENSGT00730000110228_ENSG00000152763_WD40	0.285042699447994	0	-0.285042699447994	3.85714285714286	7		1.09945041215655	0
ENSGT00390000011855_ENSG00000196187_RSN1_TM	0.278967971730987	0	-0.278967971730987	2.69230769230769	3		0.751067616198811	0
ENSGT00760000119014_ENSG00000101187_MFS_1	0.249443825784929	0	-0.249443825784929	2.14285714285714	2		0.534522483824849	0
ENSGT00920000148997_ENSG00000100852_RhoGAP-FF1	0.249283969796664	0	-0.249283969796664	2.92857142857143	3		0.730045911547372	0
ENSGT00390000008385_ENSG00000103043_Vac14_Fab1_bd	0.244948974278318	0	-0.244948974278318	3.33333333333333	4		0.816496580927726	0
ENSGT00530000063545_ENSG00000139211_LRR_8	0.242679862708932	0	-0.242679862708932	3.72727272727273	4		0.904534033733291	0
ENSGT00560000077130_ENSG00000136938_LRR_4	0.241457625161254	0	-0.241457625161254	3.90909090909091	2		0.943879807448539	0
ENSGT00920000148967_ENSG00000115183_Ank_2	0.231535412370173	0	-0.231535412370173	4.92857142857143	6		1.14113881811014	0
ENSGT00560000077130_ENSG00000139223_LRR_4	0.23151439163805	0	-0.23151439163805	2.9375	2		0.680073525436772	0
ENSGT00560000077130_ENSG00000140350_LRR_4	0.23151439163805	0	-0.23151439163805	2.9375	2		0.680073525436772	0
ENSGT00840000129686_ENSG00000198812_LRR_8	0.231362657959811	0	-0.231362657959811	4.53846153846154	4		1.05003052458683	0
ENSGT00530000064238_ENSG00000169906_EF-hand_1	0.23094010767585	0	-0.23094010767585	2.5	3		0.577350269189626	0
ENSGT00390000016313_ENSG00000158623_HEAT_2	0.226937997481371	0	-0.226937997481371	5.35714285714286	4		1.21573927222163	0
ENSGT00390000003049_ENSG00000110717_Fer4_21	0.225197311500783	0	-0.225197311500783	2.71428571428571	1		0.611249845502127	0
ENSGT00760000118831_ENSG00000126243_LRR_8	0.221746186742662	0	-0.221746186742662	3.4	4		0.753937034925052	0
ENSGT00760000119090_ENSG00000160949_Ank_4	0.213975792926155	0	-0.213975792926155	2.81818181818182	4		0.603022689155527	0
ENSGT00530000063846_ENSG00000166025_Angiomotin_C	0.213073924363215	0	-0.213073924363215	2.41666666666667	2		0.514928650544437	0
ENSGT00910000144008_ENSG00000124406_Hydrolase	0.212348576969156	0	-0.212348576969156	2.38461538461538	1		0.506369683541833	0
ENSGT00760000119145_ENSG00000144847_V-set	0.212348576969156	0	-0.212348576969156	2.38461538461538	4		0.506369683541833	0
ENSGT00790000123098_ENSG00000031698_Seryl_tRNA_N	0.210792774425501	0	-0.210792774425501	2.46153846153846	3		0.518874521662771	0
ENSGT00390000015152_ENSG00000119723_FAD_binding_3	0.210792774425501	0	-0.210792774425501	2.46153846153846	2		0.518874521662771	0
ENSGT00760000118965_ENSG00000165029_ABC2_membrane_3	0.210526315789474	0	-0.210526315789474	2.375	2		0.5	0
ENSGT00590000082921_ENSG00000168530_EF-hand_6	0.210193861865838	0	-0.210193861865838	2.4375	3		0.51234753829798	0
ENSGT00390000017462_ENSG00000113638_TPR_2	0.208893187146837	0	-0.208893187146837	2.5	3		0.522232967867093	0
ENSGT00670000097974_ENSG00000151694_Reprolysin	0.208248281958761	0	-0.208248281958761	2.05882352941176	3		0.428746462856272	0
ENSGT00510000046474_ENSG00000251322_Ank_2	0.207822541777071	0	-0.207822541777071	2.78571428571429	2		0.578934223521839	0
ENSGT00860000133691_ENSG00000167004_Thioredoxin	0.207549808665108	0	-0.207549808665108	2.5	3		0.518874521662771	0
ENSGT00550000074359_ENSG00000131323_zf-TRAF	0.207549808665108	0	-0.207549808665108	2.5	3		0.518874521662771	0
ENSGT00760000118831_ENSG00000165379_LRR_8	0.206717134197466	0	-0.206717134197466	3.47058823529412	3		0.717430053979439	0
ENSGT00390000007658_ENSG00000006555_TPR_1	0.200467264362756	0	-0.200467264362756	6.09090909090909	6		1.22102788293679	0
ENSGT00920000148997_ENSG00000160007_RhoGAP-FF1	0.200201373244812	0	-0.200201373244812	3.17647058823529	5		0.63593377383646	0
