,gene_symbol,identifier,clan,duplication_score,netto_dup,orthologs_cnt,human_dup,human_frac,dev_from_mean,human_protein_cnt
0,RCHY1,ENSGT00390000008853_ENSG00000163743_zf-RING_2,RING,-0.247088134538,0,13,0,0.0,-0.0743301461938,1
1,LAMB3,ENSGT00780000121851_ENSG00000196878_Laminin_EGF,EGF,-0.147476383266,1,15,0,0.0,-0.0743301461938,1
2,LRWD1,ENSGT00390000008446_ENSG00000161036_LRR_4,LRR,-0.267678812416,0,12,0,0.0,-0.0743301461938,1
3,POC1A,ENSGT00810000125363_ENSG00000164087_WD40,Beta_propeller,-0.229438982071,0,14,0,0.0,-0.0743301461938,1
4,TRPA1,ENSGT00920000149074_ENSG00000104321_Ank_2,Ank,-0.214143049933,0,15,0,0.0,-0.0743301461938,1
5,ASTN2,ENSGT00390000003140_ENSG00000148219_FXa_inhibition,EGF,-0.247088134538,0,13,0,0.0,-0.0743301461938,1
6,STXBP5L,ENSGT00390000000018_ENSG00000145087_WD40,Beta_propeller,-0.229438982071,0,14,0,0.0,-0.0743301461938,1
7,LIMS1,ENSGT00760000118910_ENSG00000169756_LIM,Zn_Beta_Ribbon,0.145686701962,7,26,0,0.0,-0.0743301461938,5
8,TBCE,ENSGT00530000063405_ENSG00000285053_LRR_4,LRR,-0.200759109312,0,16,0,0.0,-0.0743301461938,2
9,COL11A2,ENSGT00900000140789_ENSG00000204248_Collagen,Collagen,-0.0235717498875,3,9,0,0.0,-0.0743301461938,1
10,IL12RB2,ENSGT00550000074436_ENSG00000081985_fn3,E-set,-0.170165057614,1,13,0,0.0,-0.0743301461938,1
11,TTC28,ENSGT00530000063126_ENSG00000100154_TPR_12,TPR,-0.214143049933,0,15,0,0.0,-0.0743301461938,1
12,ZMAT4,ENSGT00510000046606_ENSG00000165061_zf-met,C2H2-zf,0.0525236167341,4,15,0,0.0,-0.0743301461938,1
13,TPM1,ENSGT00550000074494_ENSG00000140416_Tropomyosin_1,Tropomyosin-lke,-0.169060302578,0,19,0,0.0,-0.0743301461938,1
14,SH3BP1,ENSGT00760000118863_ENSG00000100092_HAD_2,HAD,-0.214143049933,0,15,0,0.0,-0.0743301461938,2
15,CSF3R,ENSGT00550000074436_ENSG00000119535_fn3,E-set,-0.158010410642,1,14,0,0.0,-0.0743301461938,1
16,DLG4,ENSGT00760000118866_ENSG00000132535_PDZ,PDZ-like,-0.247088134538,0,13,0,0.0,-0.0743301461938,1
17,EML5,ENSGT00550000074369_ENSG00000165521_WD40,Beta_propeller,-0.18894974994,0,17,0,0.0,-0.0743301461938,1
18,RCN1,ENSGT00550000074546_ENSG00000049449_EF-hand_1,EF_hand,-0.214143049933,0,15,0,0.0,-0.0743301461938,2
19,ANKRD11,ENSGT00760000119090_ENSG00000167522_Ank,Ank,-0.158010410642,1,14,0,0.0,-0.0743301461938,1
20,TPX2,ENSGT00390000009842_ENSG00000088325_TPX2_importin,TPX2_importin,-0.229438982071,0,14,0,0.0,-0.0743301461938,1
21,WDR81,ENSGT00760000119083_ENSG00000167716_WD40,Beta_propeller,-0.229438982071,0,14,0,0.0,-0.0743301461938,1
22,RGPD6,ENSGT00760000119119_ENSG00000183054_Ran_BP1,PH,0.0851359167149,5,21,0,0.0,-0.0743301461938,8
23,COL5A3,ENSGT00900000140789_ENSG00000080573_Collagen,Collagen,-0.158010410642,1,14,0,0.0,-0.0743301461938,1
24,WDR36,ENSGT00390000004976_ENSG00000134987_WD40,Beta_propeller,-0.229438982071,0,14,0,0.0,-0.0743301461938,1
25,FBXL16,ENSGT00760000119059_ENSG00000127585_LRR_6,LRR,-0.0865818392134,2,14,0,0.0,-0.0743301461938,1
26,ZKSCAN3,ENSGT00760000118881_ENSG00000189298_zf-H2C2_2,C2H2-zf,0.765151043289,43,52,1,0.0232558139535,-0.0187745906382,18
27,HSPA12A,ENSGT00390000014360_ENSG00000165868_HSP70,Actin_ATPase,-0.214143049933,0,15,0,0.0,-0.0743301461938,1
28,KIFAP3,ENSGT00390000003574_ENSG00000075945_Arm,TPR,-0.18894974994,0,17,0,0.0,-0.0743301461938,1
29,ITGBL1,ENSGT00760000119064_ENSG00000198542_EGF_2,EGF,-0.229438982071,0,14,0,0.0,-0.0743301461938,1
30,PPP2R2C,ENSGT00390000006311_ENSG00000074211_WD40,Beta_propeller,-0.18894974994,0,17,0,0.0,-0.0743301461938,1
31,AK9,ENSGT00740000115564_ENSG00000155085_ADK,P-loop_NTPase,0.652523616734,13,15,0,0.0,-0.0743301461938,1
32,GAN,ENSGT00760000118825_ENSG00000261609_Kelch_1,Beta_propeller,-0.200759109312,0,16,0,0.0,-0.0743301461938,1
33,GOLGA6D,ENSGT00530000062932_ENSG00000140478_GOLGA2L5,GOLGA2L5,-0.0670347196663,1,33,0,0.0,-0.0743301461938,19
34,KLF3,ENSGT00760000118998_ENSG00000109787_zf-C2H2,C2H2-zf,-0.0151532677848,3,14,1,0.333333333333,0.925669853806,1
35,PPFIA4,ENSGT00760000119138_ENSG00000143847_SAM_1,SAM,-0.0176788124157,3,12,0,0.0,-0.0743301461938,1
36,TTC5,ENSGT00390000006227_ENSG00000136319_TPR_2,TPR,-0.321214574899,0,10,0,0.0,-0.0743301461938,1
37,ZNF426,ENSGT00910000144146_ENSG00000130818_zf-H2C2_2,C2H2-zf,4.18585695007,66,15,6,0.0909090909091,0.592336520473,9
38,DLL1,ENSGT00810000125346_ENSG00000198719_EGF,EGF,-0.200759109312,0,16,0,0.0,-0.0743301461938,1
39,JAG1,ENSGT00810000125346_ENSG00000101384_EGF,EGF,-0.130126220529,1,17,0,0.0,-0.0743301461938,1
40,ITSN2,ENSGT00760000118985_ENSG00000198399_SH3_9,SH3,-0.200759109312,0,16,0,0.0,-0.0743301461938,1
41,ZNF787,ENSGT00920000149146_ENSG00000142409_zf-C2H2,C2H2-zf,1.09848178138,12,8,0,0.0,-0.0743301461938,2
42,RCOR3,ENSGT00840000129748_ENSG00000117625_Myb_DNA-bind_7,HTH,-0.0151532677848,3,14,1,0.333333333333,0.925669853806,1
43,CD276,ENSGT00700000104325_ENSG00000103855_Ig_3,Ig,-0.0550975340449,2,22,2,1.0,1.92566985381,1
44,MYL3,ENSGT00590000082921_ENSG00000160808_EF-hand_6,EF_hand,-0.214143049933,0,15,0,0.0,-0.0743301461938,1
45,PATL1,ENSGT00520000055649_ENSG00000166889_PAT1,PAT1,-0.214143049933,0,15,0,0.0,-0.0743301461938,1
46,LYPD5,ENSGT00910000144240_ENSG00000159871_UPAR_LY6,uPAR_Ly6_toxin,-0.24579397211,1,9,0,0.0,-0.0743301461938,2
47,MYBPH,ENSGT00860000133685_ENSG00000133055_V-set,Ig,-0.169060302578,0,19,0,0.0,-0.0743301461938,2
48,CENPF,ENSGT00730000111187_ENSG00000117724_CENP-F_leu_zip,CENP-F_leu_zip,-0.0151532677848,3,14,0,0.0,-0.0743301461938,1
49,COPB1,ENSGT00390000005270_ENSG00000129083_HEAT_2,TPR,-0.158010410642,1,14,0,0.0,-0.0743301461938,1
50,CFB,ENSGT00530000063826_ENSG00000243649_Sushi,EGF,0.137527250078,5,13,0,0.0,-0.0743301461938,2
51,CDH23,ENSGT00760000118805_ENSG00000107736_Cadherin,E-set,-0.200759109312,0,16,0,0.0,-0.0743301461938,1
52,CALB2,ENSGT00390000013118_ENSG00000172137_EF-hand_1,EF_hand,-0.229438982071,0,14,0,0.0,-0.0743301461938,1
53,DUOX1,ENSGT00550000074350_ENSG00000137857_EF-hand_8,EF_hand,-0.160607287449,0,20,0,0.0,-0.0743301461938,2
54,HMGXB4,ENSGT00390000012436_ENSG00000100281_DUF4171,DUF4171,-0.158010410642,1,14,0,0.0,-0.0743301461938,1
55,SLCO1B7,ENSGT00760000119014_ENSG00000205754_MFS_1,MFS,-0.0764796606902,0,42,0,0.0,-0.0743301461938,6
56,PLCG2,ENSGT00730000110782_ENSG00000197943_PH,PH,-0.214143049933,0,15,0,0.0,-0.0743301461938,1
57,RBM47,ENSGT00550000074366_ENSG00000163694_RRM_1,RRM,-0.200759109312,0,16,0,0.0,-0.0743301461938,1
58,NHLRC3,ENSGT00390000008657_ENSG00000188811_NHL,Beta_propeller,-0.214143049933,0,15,0,0.0,-0.0743301461938,1
59,BCL11B,ENSGT00530000063542_ENSG00000127152_zf-C2H2,C2H2-zf,-0.200759109312,0,16,0,0.0,-0.0743301461938,1
60,AL139300.1,ENSGT00390000006393_ENSG00000256500_TPR_12,TPR,-0.147476383266,1,15,0,0.0,-0.0743301461938,2
61,FEZF1,ENSGT00740000115096_ENSG00000128610_zf-H2C2_2,C2H2-zf,-0.0865818392134,2,14,0,0.0,-0.0743301461938,1
62,CHRDL2,ENSGT00730000110792_ENSG00000054938_VWC,FnI-like,-0.247088134538,0,13,0,0.0,-0.0743301461938,1
63,KLHL9,ENSGT00760000118825_ENSG00000198642_Kelch_1,Beta_propeller,-0.0606072874494,2,20,0,0.0,-0.0743301461938,2
64,HIVEP2,ENSGT00530000063161_ENSG00000010818_zf-C2H2,C2H2-zf,0.222814955942,7,17,1,0.142857142857,0.925669853806,1
65,ANKS3,ENSGT00900000140968_ENSG00000168096_Ank,Ank,-0.229438982071,0,14,0,0.0,-0.0743301461938,1
66,VCAM1,ENSGT00830000128299_ENSG00000162692_Ig_3,Ig,0.413418160787,9,14,0,0.0,-0.0743301461938,1
67,MTCL1,ENSGT00530000063889_ENSG00000168502_SOGA,SOGA,-0.0865818392134,2,14,0,0.0,-0.0743301461938,1
68,KLHL3,ENSGT00760000118931_ENSG00000146021_Kelch_1,Beta_propeller,-0.101012145749,2,12,0,0.0,-0.0743301461938,1
69,EPPIN-WFDC6,ENSGT00730000110932_ENSG00000249139_WAP,WAP,0.137527250078,5,13,0,0.0,-0.0743301461938,4
70,L3MBTL4,ENSGT00760000119024_ENSG00000154655_MBT,Tudor,-0.401518218623,0,8,0,0.0,-0.0743301461938,1
71,TRAF7,ENSGT00760000119106_ENSG00000131653_WD40,Beta_propeller,-0.214143049933,0,15,0,0.0,-0.0743301461938,1
72,LRGUK,ENSGT00900000140836_ENSG00000155530_LRR_4,LRR,-0.267678812416,0,12,0,0.0,-0.0743301461938,1
73,NRARP,ENSGT00760000119141_ENSG00000198435_Ank_5,Ank,-0.158010410642,1,14,0,0.0,-0.0743301461938,1
74,KIF21B,ENSGT00910000143992_ENSG00000116852_WD40,Beta_propeller,-0.247088134538,0,13,0,0.0,-0.0743301461938,1
75,CIB1,ENSGT00860000133737_ENSG00000185043_EF-hand_1,EF_hand,0.599065711616,11,13,0,0.0,-0.0743301461938,1
76,FCAMR,ENSGT00530000063436_ENSG00000162897_V-set,Ig,-0.0101021785232,3,21,0,0.0,-0.0743301461938,3
77,ABHD13,ENSGT00390000000948_ENSG00000139826_AXE1,AB_hydrolase,0.44521955777,9,13,0,0.0,-0.0743301461938,1
78,ZNF711,ENSGT00530000063297_ENSG00000147180_zf-C2H2,C2H2-zf,-0.229438982071,0,14,0,0.0,-0.0743301461938,1
79,SLC25A32,ENSGT00920000149145_ENSG00000164933_Mito_carr,Mito_carr,-0.18894974994,0,17,0,0.0,-0.0743301461938,1
80,PATZ1,ENSGT00530000063522_ENSG00000100105_zf-C2H2_4,C2H2-zf,0.137527250078,5,13,0,0.0,-0.0743301461938,1
81,OPCML,ENSGT00860000133697_ENSG00000183715_I-set,Ig,-0.133839406208,0,24,0,0.0,-0.0743301461938,2
82,KBTBD3,ENSGT00910000143979_ENSG00000182359_Kelch_6,Beta_propeller,-0.229438982071,0,14,0,0.0,-0.0743301461938,1
83,MMP15,ENSGT00760000118870_ENSG00000102996_Hemopexin,Hemopexin,-0.18894974994,0,17,0,0.0,-0.0743301461938,1
84,CDC7,ENSGT00550000075011_ENSG00000097046_Pkinase,PKinase,-0.229438982071,0,14,0,0.0,-0.0743301461938,1
85,SPEG,ENSGT00760000118877_ENSG00000072195_I-set,Ig,-0.133839406208,0,24,0,0.0,-0.0743301461938,1
86,CEP290,ENSGT00730000111039_ENSG00000198707_CEP209_CC5,CEP209_CC5,-0.0637971446836,2,19,0,0.0,-0.0743301461938,1
87,LIMS4,ENSGT00760000118910_ENSG00000256671_LIM,Zn_Beta_Ribbon,0.145686701962,7,26,0,0.0,-0.0743301461938,5
88,MAU2,ENSGT00390000012198_ENSG00000129933_TPR_2,TPR,-0.0151532677848,3,14,0,0.0,-0.0743301461938,1
