prot_id	transcript_id	gene_id	gene_name	description	source	selected
ENSP00000402591	ENST00000412920	ENSG00000113108	APBB3	amyloid beta (A4) precursor protein-binding, family B, member 3	HGNC Symbol;Acc:20708	1
ENSP00000265565	ENST00000265565	ENSG00000114650	SCAP	SREBF chaperone	HGNC Symbol;Acc:30634	1
ENSP00000376333	ENST00000392550	ENSG00000073350	LLGL2	lethal giant larvae homolog 2 (Drosophila)	HGNC Symbol;Acc:6629	1
ENSP00000362298	ENST00000373202	ENSG00000166224	SGPL1	sphingosine-1-phosphate lyase 1	HGNC Symbol;Acc:10817	1
ENSP00000317579	ENST00000327237	ENSG00000140688	C16orf58	chromosome 16 open reading frame 58	HGNC Symbol;Acc:25848	1
ENSP00000270538	ENST00000270538	ENSG00000104980	TIMM44	translocase of inner mitochondrial membrane 44 homolog (yeast)	HGNC Symbol;Acc:17316	1
ENSP00000249075	ENST00000249075	ENSG00000128342	LIF	leukemia inhibitory factor	HGNC Symbol;Acc:6596	1
ENSP00000343002	ENST00000343307	ENSG00000187676	B3GALTL	beta 1,3-galactosyltransferase-like	HGNC Symbol;Acc:20207	1
ENSP00000328251	ENST00000333396	ENSG00000170854	MINA	MYC induced nuclear antigen	HGNC Symbol;Acc:19441	1
ENSP00000370883	ENST00000381474	ENSG00000185164	NOMO2	NODAL modulator 2	HGNC Symbol;Acc:22652	1
ENSP00000263012	ENST00000263012	ENSG00000103226	NOMO3	NODAL modulator 3	HGNC Symbol;Acc:25242	1
ENSP00000287667	ENST00000287667	ENSG00000103512	NOMO1	NODAL modulator 1	HGNC Symbol;Acc:30060	1
ENSP00000309690	ENST00000311085	ENSG00000172869	DMXL1	Dmx-like 1	HGNC Symbol;Acc:2937	1
ENSP00000441858	ENST00000543779	ENSG00000104093	DMXL2	Dmx-like 2	HGNC Symbol;Acc:2938	1
ENSP00000272430	ENST00000272430	ENSG00000114993	RTKN	rhotekin	HGNC Symbol;Acc:10466	1
ENSP00000264234	ENST00000264234	ENSG00000114638	UPK1B	uroplakin 1B	HGNC Symbol;Acc:12578	1
ENSP00000222275	ENST00000222275	ENSG00000105668	UPK1A	uroplakin 1A	HGNC Symbol;Acc:12577	1
ENSP00000419279	ENST00000464848	ENSG00000105948	TTC26	tetratricopeptide repeat domain 26	HGNC Symbol;Acc:21882	1
ENSP00000296658	ENST00000296658	ENSG00000164237	CMBL	carboxymethylenebutenolidase homolog (Pseudomonas)	HGNC Symbol;Acc:25090	1
ENSP00000345341	ENST00000338961	ENSG00000148334	PTGES2	prostaglandin E synthase 2	HGNC Symbol;Acc:17822	1
ENSP00000260953	ENST00000260953	ENSG00000138382	METTL5	methyltransferase like 5	HGNC Symbol;Acc:25006	1
ENSP00000440227	ENST00000543948	ENSG00000103316	CRYM	crystallin, mu	HGNC Symbol;Acc:2418	1
ENSP00000225402	ENST00000225402	ENSG00000108270	AATF	apoptosis antagonizing transcription factor	HGNC Symbol;Acc:19235	1
ENSP00000251289	ENST00000251289	ENSG00000065268	WDR18	WD repeat domain 18	HGNC Symbol;Acc:17956	1
ENSP00000380241	ENST00000397048	ENSG00000106268	NUDT1	nudix (nucleoside diphosphate linked moiety X)-type motif 1	HGNC Symbol;Acc:8048	1
ENSP00000434995	ENST00000533682	ENSG00000172409	CLP1	CLP1, cleavage and polyadenylation factor I subunit, homolog (S. cerevisiae)	HGNC Symbol;Acc:16999	1
ENSP00000374501	ENST00000389851	ENSG00000163945	UVSSA	UV-stimulated scaffold protein A	HGNC Symbol;Acc:29304	1
ENSP00000240343	ENST00000240343	ENSG00000121083	DYNLL2	dynein, light chain, LC8-type 2	HGNC Symbol;Acc:24596	1
ENSP00000358147	ENST00000369151	ENSG00000151893	CACUL1	CDK2-associated, cullin domain 1	HGNC Symbol;Acc:23727	1
ENSP00000416892	ENST00000412331	ENSG00000100129	EIF3L	eukaryotic translation initiation factor 3, subunit L	HGNC Symbol;Acc:18138	1
ENSP00000221480	ENST00000221480	ENSG00000104883	PEX11G	peroxisomal biogenesis factor 11 gamma	HGNC Symbol;Acc:20208	1
ENSP00000360530	ENST00000371475	ENSG00000165802	NELF	nasal embryonic LHRH factor	HGNC Symbol;Acc:29843	1
ENSP00000258991	ENST00000258991	ENSG00000136478	TEX2	testis expressed 2	HGNC Symbol;Acc:30884	1
ENSP00000281243	ENST00000281243	ENSG00000151552	QDPR	quinoid dihydropteridine reductase	HGNC Symbol;Acc:9752	1
ENSP00000298569	ENST00000298569	ENSG00000122203	KIAA1191	KIAA1191	HGNC Symbol;Acc:29209	1
ENSP00000360682	ENST00000371620	ENSG00000148362	C9orf142	chromosome 9 open reading frame 142	HGNC Symbol;Acc:27849	1
ENSP00000344308	ENST00000342427	ENSG00000131061	ZNF341	zinc finger protein 341	HGNC Symbol;Acc:15992	1
ENSP00000386076	ENST00000407471	ENSG00000138867	C22orf13	chromosome 22 open reading frame 13	HGNC Symbol;Acc:14237	1
ENSP00000290208	ENST00000290208	ENSG00000159111	MRPL10	mitochondrial ribosomal protein L10	HGNC Symbol;Acc:14055	1
ENSP00000388598	ENST00000444133	ENSG00000144559	TAMM41	TAM41, mitochondrial translocator assembly and maintenance protein, homolog (S. cerevisiae)	HGNC Symbol;Acc:25187	1
ENSP00000317039	ENST00000325875	ENSG00000178966	RMI1	RMI1, RecQ mediated genome instability 1, homolog (S. cerevisiae)	HGNC Symbol;Acc:25764	1
ENSP00000376620	ENST00000392882	ENSG00000140105	WARS	tryptophanyl-tRNA synthetase	HGNC Symbol;Acc:12729	1
ENSP00000162044	ENST00000162044	ENSG00000064545	TMEM161A	transmembrane protein 161A	HGNC Symbol;Acc:26020	1
ENSP00000284719	ENST00000284719	ENSG00000138430	OLA1	Obg-like ATPase 1	HGNC Symbol;Acc:28833	1
ENSP00000448051	ENST00000549555	ENSG00000183283	DAZAP2	DAZ associated protein 2	HGNC Symbol;Acc:2684	1
ENSP00000317619	ENST00000325686	ENSG00000179630	LACC1	laccase (multicopper oxidoreductase) domain containing 1	HGNC Symbol;Acc:26789	1
ENSP00000309509	ENST00000311507	ENSG00000145287	PLAC8	placenta-specific 8	HGNC Symbol;Acc:19254	1
ENSP00000229769	ENST00000229769	ENSG00000112039	FANCE	Fanconi anemia, complementation group E	HGNC Symbol;Acc:3586	1
ENSP00000258774	ENST00000258774	ENSG00000136273	HUS1	HUS1 checkpoint homolog (S. pombe)	HGNC Symbol;Acc:5309	1
ENSP00000405573	ENST00000415930	ENSG00000105220	GPI	glucose-6-phosphate isomerase	HGNC Symbol;Acc:4458	1
ENSP00000419005	ENST00000491415	ENSG00000117597	DIEXF	digestive organ expansion factor homolog (zebrafish)	HGNC Symbol;Acc:28440	1
ENSP00000438886	ENST00000536708	ENSG00000108465	CDK5RAP3	CDK5 regulatory subunit associated protein 3	HGNC Symbol;Acc:18673	1
ENSP00000361311	ENST00000372237	ENSG00000126106	TMEM53	transmembrane protein 53	HGNC Symbol;Acc:26186	1
