gene_symbol	identifier	clan	prd_score	netto_dup	orthologs_cnt	human_dup	human_frac	human_protein_cnt
CD276	ENSGT00700000104325_ENSG00000103855_Ig_3	Ig	-0.0550975340449	2	22	2	1	1
OVOL1	ENSGT00920000149010_ENSG00000172818_zf-H2C2_2	C2H2-zf	-0.184345479082	1	12	1	1	1
AP1M1	ENSGT00530000062779_ENSG00000072958	motif	-0.138259109312	1	16	1	1	1
KCNH5	ENSGT00900000140833_ENSG00000140015	motif	-0.138259109312	1	16	1	1	1
VWA5B1	ENSGT00530000063006_ENSG00000158816	motif	-0.170165057614	1	13	1	1	1
AC068831.7	ENSGT00530000063488_ENSG00000284946	motif	-0.101012145749	2	12	2	1	2
RPRD1B	ENSGT00400000022016_ENSG00000101413	motif	-0.138259109312	1	16	1	1	1
PRCC	ENSGT00390000009042_ENSG00000143294	motif	-0.170165057614	1	13	1	1	1
GRM4	ENSGT00760000118884_ENSG00000124493	motif	-0.147476383266	1	15	1	1	1
SEC62	ENSGT00390000002757_ENSG00000008952	motif	-0.158010410642	1	14	1	1	1
TGFBRAP1	ENSGT00530000063596_ENSG00000135966	motif	-0.158010410642	1	14	1	1	1
RNF40	ENSGT00390000002866_ENSG00000103549	motif	-0.184345479082	1	12	1	1	1
SLC25A14	ENSGT00760000119170_ENSG00000102078_Mito_carr	Mito_carr	-0.170165057614	1	13	1	1	1
SRCAP	ENSGT00530000063427_ENSG00000080603	motif	-0.158010410642	1	14	1	1	2
AC106886.5	ENSGT00530000063427_ENSG00000282034	motif	-0.158010410642	1	14	1	1	2
AGGF1	ENSGT00730000111121_ENSG00000164252	motif	-0.147476383266	1	15	1	1	2
UBE2Q1	ENSGT00390000018573_ENSG00000160714	motif	-0.0884858299595	1	25	1	1	2
OPN1MW2	ENSGT00760000118977_ENSG00000166160	motif	-0.100552079499	1	22	1	1	4
SPATA31A7	ENSGT00530000063191_ENSG00000276040	motif	0.531983805668	8	9	7	0.875	8
SPATA31A5	ENSGT00530000063191_ENSG00000276581	motif	0.420872694557	7	9	6	0.857142857143	8
SPATA31A1	ENSGT00530000063191_ENSG00000204849	motif	0.420872694557	7	9	6	0.857142857143	8
CEL	ENSGT00760000118946_ENSG00000170835	motif	1.23232118758	18	12	15	0.833333333333	1
SPATA31A3	ENSGT00530000063191_ENSG00000275969	motif	0.309761583446	6	9	5	0.833333333333	8
SPATA31A6	ENSGT00530000063191_ENSG00000185775	motif	0.309761583446	6	9	5	0.833333333333	8
RNF10	ENSGT00390000001731_ENSG00000022840_zf-RING_UBOX	RING	-0.0808097165992	2	15	1	0.5	1
TBXAS1	ENSGT00900000140779_ENSG00000059377_p450	p450	-0.0808097165992	2	15	1	0.5	1
MYBL2	ENSGT00390000001038_ENSG00000101057_Myb_DNA-binding	HTH	-0.0865818392134	2	14	1	0.5	1
ATP8B2	ENSGT00910000144008_ENSG00000143515	motif	-0.121214574899	2	10	1	0.5	1
BACH2	ENSGT00920000148991_ENSG00000112182	motif	-0.0865818392134	2	14	1	0.5	1
FGD6	ENSGT00920000148981_ENSG00000180263	motif	-0.0757591093117	2	16	1	0.5	1
NPSR1	ENSGT00760000119156_ENSG00000187258	motif	-0.202024291498	2	6	1	0.5	1
MAP4K4	ENSGT00920000148966_ENSG00000071054	motif	-0.0808097165992	2	15	1	0.5	1
DKC1	ENSGT00510000047092_ENSG00000130826	motif	-0.0808097165992	2	15	1	0.5	1
EIF5B	ENSGT00900000141098_ENSG00000158417	motif	-0.0865818392134	2	14	1	0.5	1
HELZ	ENSGT00800000124068_ENSG00000198265	motif	-0.0865818392134	2	14	1	0.5	1
TTLL8	ENSGT00760000118951_ENSG00000138892	motif	-0.151518218623	2	8	1	0.5	1
RPGRIP1	ENSGT00520000055620_ENSG00000092200_C2-C2_1	C2	-0.134682860999	2	9	1	0.5	1
KCNJ8	ENSGT00760000118842_ENSG00000121361	motif	-0.101012145749	2	12	1	0.5	1
SUCLA2	ENSGT00390000010170_ENSG00000136143	motif	-0.0808097165992	2	15	1	0.5	1
SLC27A2	ENSGT00550000074420_ENSG00000140284	motif	-0.151518218623	2	8	1	0.5	1
GALNT18	ENSGT00900000140827_ENSG00000110328	motif	-0.0673414304993	2	18	1	0.5	1
LONP1	ENSGT00530000063553_ENSG00000196365	motif	-0.0865818392134	2	14	1	0.5	1
TBR1	ENSGT00900000140847_ENSG00000136535	motif	-0.0932419806914	2	13	1	0.5	1
